Country,City,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,Latitude,Longitude,cluster
Thailand,Suphan Buri,45.0,0.0,20.0,0.0,45,14.6777,100.0350785,1
Indonesia,Taman,124.0,1.0,39.0,1.0,124,-7.3631369,112.67566204382938,2
Indonesia,Ende,23.0,1.0,23.0,0.0,16,-8.672867499999999,121.69291732410474,1
Philippines,Lalig,90.0,2.0,25.0,2.5,90,13.979233,121.3253343,0
Philippines,Lipa,93.0,2.0,25.0,2.5,93,13.9414686,121.1642877,0
Indonesia,Banda Aceh,17.0,0.0,17.0,0.0,17,5.5528455,95.3192908,1
Philippines,Antipolo,61.0,1.0,23.0,2.0,61,14.5871972,121.1759246,1
Philippines,Sapang,98.0,1.0,22.0,2.0,98,15.8358242,120.4394449,0
Philippines,Papaya,82.0,1.0,27.0,1.0,82,16.3649635,121.355204,1
Indonesia,Plumbon,54.0,1.0,39.0,0.0,54,-7.0525907,111.2933688,1
Indonesia,Gambiran,37.0,1.0,24.0,0.0,37,-7.6714939,112.6592729,1
Indonesia,Gampengrejo,73.0,1.0,38.0,0.0,73,-7.76639945,112.0352595795918,1
Indonesia,Gempol,136.25,2.0,51.25,1.0,135,-7.5794398,112.6904154,2
Philippines,Ipil,136.25,1.0,15.0,0.0,135,7.7825104,122.5869172,1
Philippines,Masalukot,45.0,1.0,27.0,1.0,45,13.999965,121.4427772,1
Malaysia,Mentakab,88.0,1.0,41.0,0.0,88,3.486451,102.3514872,2
Myanmar,Mudon,50.0,0.0,21.0,0.0,50,16.2584883,97.708013,1
Thailand,Nakhon Nayok,59.0,1.0,30.0,1.0,59,14.1494474,101.2177459,1
Thailand,Krabi,65.0,1.0,28.0,0.0,65,8.1111653,99.1097298,1
Indonesia,Loa Janan,54.0,1.0,15.0,0.0,54,-0.5568071,117.10733583259628,1
Philippines,Los Banos,52.0,1.0,24.0,1.0,52,14.1775648,121.2214303,1
Indonesia,Manokwari,10.0,0.0,10.0,0.0,10,-0.8614456,134.0767324,1
Philippines,Santa Catalina,78.0,1.0,16.0,0.0,78,17.5888763,120.3633196,1
Indonesia,Paseh,66.0,1.0,41.0,0.0,66,-7.3438348,109.6666534,1
Indonesia,Singkawang,61.0,1.0,14.0,0.0,61,0.9069861,108.9889657,1
Indonesia,Negara,67.0,3.0,21.0,2.5,67,-8.3585536,114.6218756,0
Philippines,Paombong,103.0,3.0,27.0,2.5,103,14.8363954,120.7874997,0
Philippines,Ozamiz,49.0,1.0,18.0,1.0,49,8.1470175,123.8459793,1
Philippines,Pagsangahan,32.0,0.0,23.0,0.0,32,14.0260567,122.9309783,1
Indonesia,Panarukan,85.0,3.0,17.0,2.5,85,-7.6949745,113.9362263,0
Philippines,Malanday,136.25,3.5,19.0,2.5,135,14.7181214,120.9570468,0
Thailand,Bang Ban,136.25,3.0,7.0,2.5,135,14.3741494,100.4860961,0
Malaysia,Bemban,101.0,2.0,17.0,2.5,101,2.2660985,102.3767641,0
Malaysia,Bukit Baru,93.0,2.0,20.0,2.5,93,2.2176147,102.2734112,0
Philippines,Cebu,51.0,1.0,26.0,1.0,51,10.2931062,123.9020773,1
